ICD,Faelle,Tage,Tage_je_Fall,Jahr,Krankenhaus,Pflicht_alle,freiwillig,male
B53,44,378,8.59,2014,1,1.0,0,0
B54,87,1024,11.77,2014,1,1.0,0,0
B55,24,183,7.62,2014,1,1.0,0,0
B56,14,317,22.64,2014,1,1.0,0,0
B57,11,46,4.18,2014,1,1.0,0,0
B58,261,3378,12.94,2014,1,1.0,0,0
B59,27,889,32.93,2014,1,1.0,0,0
B60,24,785,32.71,2014,1,1.0,0,0
B64,2,11,5.5,2014,1,1.0,0,0
B65,36,245,6.81,2014,1,1.0,0,0
B66,110,713,6.48,2014,1,1.0,0,0
B67,66,1962,29.73,2014,1,1.0,0,0
B68,18,198,11.0,2014,1,1.0,0,0
B69,46,917,19.93,2014,1,1.0,0,0
B70,9,358,39.78,2014,1,1.0,0,0
B71,24,190,7.92,2014,1,1.0,0,0
B72,5,60,12.0,2014,1,1.0,0,0
B73,5,28,5.6,2014,1,1.0,0,0
B74,15,142,9.47,2014,1,1.0,0,0
B76,14,64,4.57,2014,1,1.0,0,0
B77,69,852,12.35,2014,1,1.0,0,0
B78,13,69,5.31,2014,1,1.0,0,0
B79,13,101,7.77,2014,1,1.0,0,0
B80,257,1280,4.98,2014,1,1.0,0,0
B81,32,419,13.09,2014,1,1.0,0,0
B82,63,371,5.89,2014,1,1.0,0,0
B83,245,1349,5.51,2014,1,1.0,0,0
B85,2930,11686,3.99,2014,1,1.0,0,0
B86,1388,8357,6.02,2014,1,1.0,0,0
B87,37,309,8.35,2014,1,1.0,0,0
B88,293,1877,6.41,2014,1,1.0,0,0
B89,126,795,6.31,2014,1,1.0,0,0
B90,31,1317,42.48,2014,1,1.0,0,0
B91,105,3618,34.46,2014,1,1.0,0,0
